Last tracked,Type,Reg Year,Emission Class,Livery,Branding,Name,Previous reg,Special features,,,,,
6260,FD02 UKS,2002,EURO III,402,9:25,VDL/DAF DB250 East Lancs Myllennium Lowlander,Arriva Interurban,,,,Flickr,Edit,
1607,GN04 UCX,2004,EURO III,145,9:33,Dennis Dart Plaxton Pointer,Arriva Journey Mark,,,,Flickr,Edit,
1609,GN04 UCZ,2004,EURO III,113,9:43,Dennis Dart Plaxton Pointer,Arriva Journey Mark,,,,Flickr,Edit,
1616,GN04 UDK,2004,EURO III,145,9:50,Dennis Dart Plaxton Pointer,Arriva Interurban,,,,Flickr,Edit,
6401,GN04 UDM,2004,EURO III,1,9:58,Volvo B7TL Alexander ALX400,Arriva Interurban,,,,Flickr,Edit,
6402,GN04 UDP,2004,EURO III,190,9:52,Volvo B7TL Alexander ALX400,Arriva Journey Mark,,,,Flickr,Edit,
6404,GN04 UDT,2004,EURO III,132,9:42,Volvo B7TL Alexander ALX400,Arriva Interurban,,,,Flickr,Edit,
6405,GN04 UDU,2004,EURO III,166,8/2/22 18:30,Volvo B7TL Alexander ALX400,Arriva Interurban,,,,Flickr,Edit,
6406,GN04 UDV,2004,EURO III,12,8/2/22 13:15,Volvo B7TL Alexander ALX400,Arriva Interurban,,,,Flickr,Edit,
6407,GN04 UDW,2004,EURO III,12,9:58,Volvo B7TL Alexander ALX400,Arriva Interurban,,,,Flickr,Edit,
6408,GN04 UDX,2004,EURO III,5,9:46,Volvo B7TL Alexander ALX400,Arriva Interurban,,,,Flickr,Edit,
6410,GN04 UDZ,2004,EURO III,191,7/29/22 14:15,Volvo B7TL Alexander ALX400,Arriva Interurban,,,,Flickr,Edit,
6411,GN04 UEA,2004,EURO III,132,9:42,Volvo B7TL Alexander ALX400,Arriva Interurban,,,,Flickr,Edit,
6412,GN04 UEB,2004,EURO III,5,8:22,Volvo B7TL Alexander ALX400,Arriva Interurban,,,,Flickr,Edit,
6413,GN04 UEC,2004,EURO III,191,8/2/22 17:30,Volvo B7TL Alexander ALX400,Arriva Interurban,,,,Flickr,Edit,
6417,GN04 UEG,2004,EURO III,132,9:18,Volvo B7TL Alexander ALX400,Arriva Interurban,,,,Flickr,Edit,
6418,GN04 UEH,2004,EURO III,140,9:47,Volvo B7TL Alexander ALX400,Arriva Interurban,,,,Flickr,Edit,
6419,GN04 UEJ,2004,EURO III,141,8/2/22 9:21,Volvo B7TL Alexander ALX400,Arriva Interurban,,,,Flickr,Edit,
6420,GN04 UEK,2004,EURO III,166,10:00,Volvo B7TL Alexander ALX400,Arriva Interurban,,,,Flickr,Edit,
6421,GN04 UEL,2004,EURO III,191,9:04,Volvo B7TL Alexander ALX400,Arriva Interurban,,,,Flickr,Edit,
6422,GN04 UEM,2004,EURO III,5,8:56,Volvo B7TL Alexander ALX400,Arriva Interurban,,,,Flickr,Edit,
6423,GN04 UEP,2004,EURO III,4,7/7/22 9:00,Volvo B7TL Alexander ALX400,Arriva Interurban,,,,Flickr,Edit,
6424,GN04 UER,2004,EURO III,101,5/31/22 17:44,Volvo B7TL Alexander ALX400,Arriva Interurban,,,,Flickr,Edit,
6425,GN04 UES,2004,EURO III,693,7/19/22 16:28,Volvo B7TL Alexander ALX400,Arriva Interurban,,,,Flickr,Edit,
6427,GN04 UEU,2004,EURO III,133,7/26/22 9:30,Volvo B7TL Alexander ALX400,Arriva Interurban,,,,Flickr,Edit,
6428,GN04 UEV,2004,EURO III,700,9:13,Volvo B7TL Alexander ALX400,Arriva Interurban,,,,Flickr,Edit,
6429,GN04 UEW,2004,EURO III,176,9:50,Volvo B7TL Alexander ALX400,Arriva Interurban,,,,Flickr,Edit,
6430,GN04 UEX,2004,EURO III,169,9:40,Volvo B7TL Alexander ALX400,Arriva Interurban,,,,Flickr,Edit,
6431,GN04 UEY,2004,EURO III,182,9:39,Volvo B7TL Alexander ALX400,Arriva Interurban,,,,Flickr,Edit,
6432,GN04 UEZ,2004,EURO III,6,10:30,Volvo B7TL Alexander ALX400,Arriva Interurban,,,,Flickr,Edit,
6436,GN04 UFD,2004,EURO III,334,7/5/22 17:05,Volvo B7TL Alexander ALX400,Arriva Interurban,,,,Flickr,Edit,
6437,GN04 UFE,2004,EURO III,191,7/21/22 10:04,Volvo B7TL Alexander ALX400,Arriva Interurban,,,,Flickr,Edit,
6438,GN04 UFG,2004,EURO III,12,7/27/22 14:26,Volvo B7TL Alexander ALX400,Arriva Interurban,,,,Flickr,Edit,
6439,GN04 UFH,2004,EURO III,5,10:25,Volvo B7TL Alexander ALX400,Arriva Interurban,,,,Flickr,Edit,
6440,GN04 UFJ,2004,EURO III,133,9:00,Volvo B7TL Alexander ALX400,Arriva Interurban,,,,Flickr,Edit,
6441,GN04 UFK,2004,EURO III,141,9:21,Volvo B7TL Alexander ALX400,Arriva Interurban,,,,Flickr,Edit,
6442,GN04 UFL,2004,EURO III,100,10:08,Volvo B7TL Alexander ALX400,Arriva Interurban,,,,Flickr,Edit,
6443,GN04 UFM,2004,EURO III,100,7/28/22 8:37,Volvo B7TL Alexander ALX400,Arriva Interurban,,,,Flickr,Edit,
6444,GN04 UFP,2004,EURO III,402,8/2/22 11:26,Volvo B7TL Alexander ALX400,Arriva Interurban,,,,Flickr,Edit,
6445,GN04 UFR,2004,EURO III,6,7/26/22 8:50,Volvo B7TL Alexander ALX400,Arriva Interurban,,,,Flickr,Edit,
6446,GN04 UFS,2004,EURO III,176,8/2/22 18:17,Volvo B7TL Alexander ALX400,Arriva Interurban,,,,Flickr,Edit,
6447,GN04 UFT,2004,EURO III,7,8:27,Volvo B7TL Alexander ALX400,Arriva Interurban,,,,Flickr,Edit,
6448,GN04 UFU,2004,EURO III,9,10:00,Volvo B7TL Alexander ALX400,Arriva Interurban,,,,Flickr,Edit,
6449,GN04 UFV,2004,EURO III,71,7/29/22 9:50,Volvo B7TL Alexander ALX400,Arriva Interurban,,,,Flickr,Edit,
6005,KL52 CWU,2002,EURO III,6,9:00,DAF DB250 Alexander ALX400,Arriva Interurban,,,,Flickr,Edit,
6007,KL52 CWW,2002,EURO III,6,8/2/22 16:30,DAF DB250 Alexander ALX400,Arriva Interurban,,,,Flickr,Edit,
6136,LF02 PSO,2002,EURO III,6X,9:30,Volvo B7TL Wright Eclipse Gemini,Arriva Interurban,,,,Flickr,Edit,
6132,LJ03 MHV,2003,EURO III,7,9:40,Volvo B7TL Wright Eclipse Gemini,Arriva Interurban,,,,Flickr,Edit,
6135,LJ03 MJK,2003,EURO III,6X,7:20,Volvo B7TL Wright Eclipse Gemini,Arriva Interurban,,,,Flickr,Edit,
