Last tracked,,Type,Livery,Name,Previous reg,Special features,,
SP GM,,166,15:48,Spare ticket machine,,,,
SP MD,,85,28 Nov 11:05,Spare ticket machine,,,,
SP TW,,6X,24 Oct 16:15,Spare ticket machine,,,,
1000,,82,23 Nov 13:58,ADL Enviro200,,,,
1013,BF67 WGK,7,6 Nov 7:40,Mercedes-Benz Sprinter City 45,Arriva Journey Mark,,,USB power
1501,YJ58 CDZ,281,15:38,Optare Solo SR,Arriva Journey Mark,,,
1502,YJ58 CEA,277,15:38,Optare Solo SR,Arriva Journey Mark,Mick Gatton,,
1503,YJ58 CEF,281,15:54,Optare Solo SR,Arriva Journey Mark,,,
1518,YJ11 OHK,277,15:45,Optare Solo,Arriva Interurban,,,
1522,YJ09 OTY,219,15:44,Optare Solo,Arriva Journey Mark,,,
1523,YK07 BCZ,218,15:35,Optare Solo,Arriva Journey Mark,,,
1524,YK08 ERO,281,15:58,Optare Solo,Arriva Journey Mark,,,
1526,YK08 ETA,219,15:19,Optare Solo,Arriva Journey Mark,,,
1633,GN06 EEB,647,15:15,Dennis Dart Plaxton Pointer,Arriva Interurban,,,
1635,GN06 EEG,X2,8:20,Dennis Dart Plaxton Pointer,Arriva Interurban,,,
1636,GN06 EEH,347,15:41,Dennis Dart Plaxton Pointer,Arriva Interurban,,,
1637,GN57 BNX,145,15:48,ADL Enviro200,Arriva Interurban,,,
1638,GN57 BNY,145,15:25,ADL Enviro200,Arriva Interurban,,,
1639,GN57 BNZ,164,16:02,ADL Enviro200,Arriva Interurban,,,
1640,GN57 BOF,176,16 Nov 11:17,ADL Enviro200,Arriva Interurban,,,
1641,GN57 BOH,190,2 Dec 8:52,ADL Enviro200,Arriva Journey Mark,,,
1642,GN57 BOJ,2,15:50,ADL Enviro200,Arriva Journey Mark,,,
1650,KX61 LFO,166,15:54,Wright StreetLite DF,Arriva Journey Mark,,,
1651,KX61 LFR,145,15:36,Wright StreetLite DF,Arriva Journey Mark,,,
1652,KX61 LFP,190,30 Nov 19:20,Wright StreetLite DF,Arriva Journey Mark,,,
1653,KX61 LCW,100,15:56,Wright StreetLite DF,Arriva Journey Mark,,,
1654,KX61 LHW,145,15:37,Wright StreetLite DF,Arriva Journey Mark,,,
1655,GN14 DYJ,132,16:00,Wright StreetLite DF,Arriva Journey Mark,,,
1656,GN64 DXT,281,15:28,Wright StreetLite WF,Arriva Journey Mark,,,
1657,GN64 DXU,218,15:37,Wright StreetLite WF,Arriva Journey Mark,,,
1658,GN64 DXV,531,16:00,Wright StreetLite WF,Arriva Journey Mark,,,
1659,GN64 DXW,277,4 Dec 16:38,Wright StreetLite WF,Arriva Journey Mark,,,
1660,GN64 DXX,211,15:25,Wright StreetLite WF,Arriva Journey Mark,Stephen Dalley,,
1661,GN64 DXY,281,15:43,Wright StreetLite WF,Arriva Journey Mark,,,
3906,BD12 DHO,6,15:57,Mercedes-Benz Citaro O530,Arriva Journey Mark,Andy Ramsden,,
3908,BD12 DHU,6,8:59,Mercedes-Benz Citaro O530,Arriva pride,,,
3984,GN07 DLJ,82,14:24,ADL Enviro200,Arriva Interurban,,,
3987,GN07 DLU,660,2 Nov 7:33,ADL Enviro200,Arriva Interurban,,,
3988,GN07 DLV,175,31 Oct 18:24,ADL Enviro200,Arriva Interurban,,,
