,LineRef,OriginName,DestinationName,OriginAimedDepartureTime,VehicleRef,VehicleLocation.Longitude,VehicleLocation.Latitude
0,132,Waterfront_Bus_Station,Hempstead_Valley_Shopping_Centre,2022-10-12T09:30:00+00:00,4314,0.590251,51.367281
1,660,Tunbury_Avenue,Breton_Road,2022-10-12T07:28:00+00:00,6412,0.499455,51.370171
2,8,Maidstone_Hospital,King_Street,2022-10-12T08:55:00+00:00,6448,0.523764,51.260458
3,116,Waterfront_Bus_Station,Hempstead_Valley_Shopping_Centre,2022-10-12T08:42:00+00:00,4224,0.574495,51.369978
4,85,Freeman_Way,Chequers_Bus_Station,2022-10-12T09:53:00+00:00,6152,0.55889,51.246275
5,190,Gravesend_Railway_Station,Waterfront_Bus_Station,2022-10-12T09:20:00+00:00,3984,0.498186,51.394376
6,164,Chatham_Grove,Waterfront_Bus_Station,2022-10-12T09:42:00+00:00,4005,0.535431,51.377945
7,132,Waterfront_Bus_Station,Hempstead_Valley_Shopping_Centre,2022-10-12T09:17:00+00:00,4310,0.598603,51.34487
8,116,Hempstead_Valley_Shopping_Centre,Waterfront_Bus_Station,2022-10-12T08:51:00+00:00,4300,0.536858,51.397596
9,101,Pudding_Lane,Duncan_Road,2022-10-12T09:36:00+00:00,6471,0.517165,51.292356
10,132,Hempstead_Valley_Shopping_Centre,Waterfront_Bus_Station,2022-10-12T09:42:00+00:00,3987,0.59906,51.345656
11,101,Pudding_Lane,Duncan_Road,2022-10-12T09:12:00+00:00,6483,0.539565,51.389776
12,334,Chequers_Bus_Station,Tesco,2022-10-12T09:50:00+00:00,4280,0.526761,51.2721
13,8,Chequers_Bus_Station,Maidstone_Hospital,2022-10-12T09:52:00+00:00,4464,0.526603,51.271956
14,82,Parade,Royal_Star_Arcade,2022-10-12T09:26:00+00:00,6147,0.527873,51.264471
15,166,Waterfront_Bus_Station,The_Kestrel_Shopping_Centre,2022-10-12T09:55:00+00:00,1607,0.52429,51.385351
16,101,Pudding_Lane,Duncan_Road,2022-10-12T08:24:00+00:00,6478,0.550428,51.384275
17,182,Waterfront_Bus_Station,Beechings_Green,2022-10-12T09:29:00+00:00,4311,0.577436,51.379596
18,182,Beechings_Green,Waterfront_Bus_Station,2022-10-12T09:18:00+00:00,4271,0.535755,51.391361
19,72,Asda,Chequers_Bus_Station,2022-10-12T09:30:00+00:00,6138,0.435151,51.29306
20,177,Alexandra_Hospital,Victoria_Street,2022-10-12T06:00:00+00:00,4266,0.548215,51.387643
21,82,Royal_Star_Arcade,Parade,2022-10-12T09:46:00+00:00,4048,0.526641,51.27276
22,82,Royal_Star_Arcade,Parade,2022-10-12T09:34:00+00:00,6146,0.531648,51.25706
23,575,High_Street,Invicta_Girls__Grammar_School,2022-10-12T07:11:00+00:00,6406,0.535425,51.274431
24,182,Beechings_Green,Waterfront_Bus_Station,2022-10-12T09:08:00+00:00,4292,0.550369,51.384006
25,191,Lapwing_Road,Waterfront_Bus_Station,2022-10-12T09:04:00+00:00,6476,0.637796,51.45884
26,101,Pudding_Lane,Duncan_Road,2022-10-12T09:24:00+00:00,6528,0.521418,51.380846
27,173,Bligh_Way_Shops,Waterfront_Bus_Station,2022-10-12T09:02:00+00:00,6420,0.524521,51.38532
28,575,Lunsford_Park_Tesco,Invicta_Girls__Grammar_School,2022-10-12T07:25:00+00:00,4296,0.523768,51.260345
29,132,Hempstead_Valley_Shopping_Centre,Waterfront_Bus_Station,2022-10-12T08:53:00+00:00,6440,0.536731,51.378251
30,177,Village_Centre,Victoria_Street,2022-10-12T09:39:00+00:00,4060,0.523403,51.354198
31,177,Alexandra_Hospital,Victoria_Street,2022-10-12T07:05:00+00:00,4317,0.5498,51.387163
32,190,Waterfront_Bus_Station,Gravesend_Railway_Station,2022-10-12T09:12:00+00:00,4267,0.370653,51.441861
33,176,Village_Centre,Plantation_Road,2022-10-12T09:48:00+00:00,4281,0.521716,51.336041
34,191,Marina,Waterfront_Bus_Station,2022-10-12T09:11:00+00:00,6430,0.523543,51.383753
35,166,The_Kestrel_Shopping_Centre,Waterfront_Bus_Station,2022-10-12T09:08:00+00:00,4270,0.526003,51.384541
36,71,Railway_Station,Chequers_Bus_Station,2022-10-12T09:50:00+00:00,4063,0.448065,51.329966
37,85,Chequers_Bus_Station,Freeman_Way,2022-10-12T09:43:00+00:00,4120,0.53475,51.265051
38,82,Parade,Royal_Star_Arcade,2022-10-12T09:48:00+00:00,4075,0.555045,51.237416
39,176,Plantation_Road,Village_Centre,2022-10-12T09:09:00+00:00,4263,0.522131,51.379668
40,182,Waterfront_Bus_Station,Beechings_Green,2022-10-12T09:39:00+00:00,4264,0.550201,51.383445
41,182,Beechings_Green,Waterfront_Bus_Station,2022-10-12T09:28:00+00:00,4273,0.549991,51.386471
42,133,Waterfront_Bus_Station,Six_Bells,2022-10-12T09:45:00+00:00,6431,0.52071,51.382203
