Last tracked,,Type,Reg Year,Emission Class,Livery,Name,Previous reg,Special features
1013,BF67 WGK,7,67,EURO VI,6 Nov 7:40,Mercedes-Benz Sprinter City 45,Arriva Journey Mark,
1021,BF67 WGV,6X,67,EURO VI,4 Jan 20:19,Mercedes-Benz Sprinter City 45,Arriva Journey Mark,
1501,YJ58 CDZ,219,58,EURO IV,14:06,Optare Solo SR,Arriva Journey Mark,
1502,YJ58 CEA,281,58,EURO IV,21 Jan 20:02,Optare Solo SR,Arriva Journey Mark,Mick Gatton
1503,YJ58 CEF,219,58,EURO IV,21 Jan 20:29,Optare Solo SR,Arriva Journey Mark,
1518,YJ11 OHK,219,11,EURO V,16:06,Optare Solo,Arriva Interurban,
1522,YJ09 OTY,211,9,EURO IV,21 Jan 16:24,Optare Solo,Arriva Journey Mark,
1523,YK07 BCZ,281,7,EURO IV,21 Jan 18:36,Optare Solo,Arriva Journey Mark,
1524,YK08 ERO,277,8,EURO IV,16:17,Optare Solo,Arriva Journey Mark,
1526,YK08 ETA,219,8,EURO IV,21 Jan 18:47,Optare Solo,Arriva Journey Mark,
1633,GN06 EEB,349,6,EURO III,21 Jan 16:50,Dennis Dart Plaxton Pointer,Arriva Interurban,
1635,GN06 EEG,8,6,EURO III,21 Jan 15:21,Dennis Dart Plaxton Pointer,Arriva Interurban,
1636,GN06 EEH,347,6,EURO III,21 Jan 16:15,Dennis Dart Plaxton Pointer,Arriva Interurban,
1637,GN57 BNX,145,57,EURO IV,16:18,ADL Enviro200,Arriva Interurban,
1638,GN57 BNY,193,57,EURO IV,15:56,ADL Enviro200,Arriva Interurban,
1639,GN57 BNZ,191,57,EURO IV,15:45,ADL Enviro200,Arriva Interurban,
1640,GN57 BOF,164,57,EURO IV,16:22,ADL Enviro200,Arriva Interurban,
1641,GN57 BOH,176,57,EURO IV,21 Jan 18:17,ADL Enviro200,Arriva Journey Mark,
1642,GN57 BOJ,191,57,EURO IV,21 Jan 23:48,ADL Enviro200,Arriva Journey Mark,
1650,KX61 LFO,145,61,EURO V,2 Jan 17:18,Wright StreetLite DF,Arriva Journey Mark,
1651,KX61 LFR,660,61,EURO V,5 Jan 7:33,Wright StreetLite DF,Arriva Journey Mark,
1652,KX61 LFP,176,61,EURO V,20 Jan 19:00,Wright StreetLite DF,Arriva Journey Mark,
1653,KX61 LCW,177,61,EURO V,16:14,Wright StreetLite DF,Arriva Journey Mark,
1654,KX61 LHW,145,61,EURO V,16:27,Wright StreetLite DF,Arriva Journey Mark,
1655,GN14 DYJ,132,14,EURO VI,20 Jan 21:20,Wright StreetLite DF,Arriva Journey Mark,
1656,GN64 DXT,6,64,EURO VI,16:40,Wright StreetLite WF,Arriva Journey Mark,
1657,GN64 DXU,281,64,EURO VI,4 Jan 13:37,Wright StreetLite WF,Arriva Journey Mark,
